"","subj","sex","MOTedu","MOTwork6","MOTwork18","MOTworkhours6","MOTworkhours18","FATwork6","FATwork18","FATworkhours","HouseholdIncome18","HouseholdIncome6","MOTedulevel","siblings","family_size","CDI","CDIcomp","noCDI","CDInouns","CHItokens","CHItypes","Log.CDI","Log.CDIcomp","Log.CDInouns","Log.Tokens","Log.Types","age_mom","PVTscore","caretype","outlier.CDI","outlier.CDIcomp","outlier.types","outlier.tokens"
"1",794,"F","Masters Degree","Part-time","Full-time",24,30,"Full-time","Full-time",50,124999,124999,5,1,4,372,376,FALSE,222,206,58,5.92157841964382,5.93224518744801,5.40717177146012,5.33271879326537,4.07753744390572,33,119.5,"Mixed-care",FALSE,FALSE,FALSE,FALSE
"2",294,"M","Masters Degree","Home","Part-time",0,NA,"Full-time","Full-time",40,74999,74999,5,1,4,184,315,FALSE,132,84,18,5.22035582507832,5.75574221358691,4.89034912822175,4.44265125649032,2.94443897916644,33,116.4,"Mixed-care",FALSE,FALSE,FALSE,FALSE
"3",465,"F","Masters Degree","Full-time","Full-time",40,40,"Full-time","Full-time",40,99999,99999,5,1,4,26,213,FALSE,15,76,11,3.29583686600433,5.36597601502185,2.77258872223978,4.34380542185368,2.484906649788,33,120.4,"Care-only",FALSE,FALSE,FALSE,FALSE
"4",357,"M","Masters Degree","Full-time","Full-time",40,40,"Full-time","Full-time",40,124999,124999,5,0,3,33,384,FALSE,12,1,1,3.52636052461616,5.95324333428778,2.56494935746154,0.693147180559945,0.693147180559945,30,114.4,"Care-only",FALSE,FALSE,FALSE,FALSE
"5",521,"F","Masters Degree","Full-time","Full-time",40,40,"Home","Home",NA,54999,54999,5,0,3,191,316,FALSE,124,154,54,5.25749537202778,5.75890177387728,4.8283137373023,5.04342511691925,4.00733318523247,32,118.6,"Care-only",FALSE,FALSE,FALSE,FALSE
"6",274,"M","Bachelors Degree","Full-time","Full-time",40,40,"Full-time","Full-time",40,99999,99999,4,0,3,63,330,FALSE,23,19,2,4.15888308335967,5.80211837537706,3.17805383034795,2.99573227355399,1.09861228866811,34,110.9,"Care-only",FALSE,FALSE,FALSE,FALSE
"7",828,"F","Doctorate","Part-time","Part-time",24,24,"Full-time","Full-time",60,125000,125000,6,1,4,48,173,FALSE,27,38,5,3.89182029811063,5.15905529921453,3.3322045101752,3.66356164612965,1.79175946922805,32,112.8,"Mixed-care",FALSE,FALSE,FALSE,FALSE
"8",309,"M","Masters Degree","Full-time","Full-time",30,30,"Full-time","Full-time",40,74999,74999,5,0,3,20,250,FALSE,9,1,1,3.04452243772342,5.52545293913178,2.30258509299405,0.693147180559945,0.693147180559945,31,116.1,"Care-only",FALSE,FALSE,FALSE,FALSE
"9",749,"M","Assoc Degree","Home","Part-time",0,20,"Full-time","Full-time",40,74999,74999,3,0,3,120,326,FALSE,76,173,18,4.79579054559674,5.78996017089725,4.34380542185368,5.15905529921453,2.94443897916644,35,106.6,"Mixed-care",FALSE,FALSE,FALSE,FALSE
"10",623,"M","Doctorate","Full-time","Full-time",30,30,"Full-time","Full-time",50,125000,125000,6,2,5,24,302,FALSE,17,5,2,3.2188758248682,5.71373280550937,2.89037175789616,1.79175946922805,1.09861228866811,36,123.6,"Care-only",FALSE,FALSE,FALSE,FALSE
"11",664,"M","Masters Degree","Full-time","Full-time",40,40,"Full-time","Full-time",60,125000,125000,5,0,3,16,230,FALSE,9,10,3,2.83321334405622,5.44241771052179,2.30258509299405,2.39789527279837,1.38629436111989,34,112.8,"Care-only",FALSE,FALSE,FALSE,FALSE
"12",860,"M","Assoc Degree","Full-time","Full-time",40,40,"Full-time","Full-time",40,125000,125000,3,1,4,69,296,FALSE,43,8,3,4.24849524204936,5.6937321388027,3.78418963391826,2.19722457733622,1.38629436111989,37,117.1,"Care-only",FALSE,FALSE,FALSE,FALSE
"13",378,"F","Bachelors Degree","Part-time","Part-time",6,6,"Full-time","Full-time",40,NA,NA,4,0,3,189,270,FALSE,136,255,58,5.24702407216049,5.6021188208797,4.91998092582813,5.54517744447956,4.07753744390572,28,120.1,"Mixed-care",FALSE,FALSE,FALSE,FALSE
"14",109,"F","Assoc Degree","Home","Part-time",0,25,"Full-time","Home",0,28999,28999,3,0,3,82,262,FALSE,53,94,16,4.4188406077966,5.57215403217776,3.98898404656427,4.55387689160054,2.83321334405622,29,105.5,"Mixed-care",FALSE,FALSE,FALSE,FALSE
"15",342,"M","Masters Degree","Full-time","Full-time",30,30,"Full-time","Full-time",50,125000,125000,5,0,3,42,298,FALSE,18,5,3,3.76120011569356,5.70044357339069,2.94443897916644,1.79175946922805,1.38629436111989,33,111.4,"Care-only",FALSE,FALSE,FALSE,FALSE
"16",268,"F","Bachelors Degree","Part-time","Part-time",21,21,"Full-time","Full-time",40,99999,NA,4,0,3,75,287,FALSE,39,13,8,4.33073334028633,5.66296048013595,3.68887945411394,2.63905732961526,2.19722457733622,35,110.8,"Mixed-care",FALSE,FALSE,FALSE,FALSE
"17",172,"M","Assoc Degree","Full-time","Full-time",45,45,"Full-time","Full-time",40,124999,124999,3,4,7,NA,NA,TRUE,NA,1,1,NA,NA,NA,0.693147180559945,0.693147180559945,34,111.5,"Care-only",NA,NA,FALSE,FALSE
"18",189,"M","Bachelors Degree","Part-time","Part-time",20,20,"Part-time","Full-time",40,99999,74999,4,0,3,77,301,FALSE,40,23,4,4.35670882668959,5.71042701737487,3.71357206670431,3.17805383034795,1.6094379124341,27,106,"Mixed-care",FALSE,FALSE,FALSE,FALSE
"19",986,"F","Assoc Degree","Part-time","Part-time",16,16,"Full-time","Full-time",40,99999,99999,3,1,4,42,342,FALSE,21,16,7,3.76120011569356,5.83773044716594,3.09104245335832,2.83321334405622,2.07944154167984,31,106.5,"Mixed-care",FALSE,FALSE,FALSE,FALSE
"20",861,"M","Doctorate","Full-time","Full-time",35,35,"Home","Home",0,74999,74999,6,0,3,6,305,FALSE,3,20,4,1.94591014905531,5.72358510195238,1.38629436111989,3.04452243772342,1.6094379124341,42,121.2,"Care-only",FALSE,FALSE,FALSE,FALSE
"21",625,"F","Masters Degree","Home","Full-time",0,40,"Full-time","Full-time",40,124999,124999,5,0,3,NA,NA,TRUE,NA,86,14,NA,NA,NA,4.46590811865458,2.70805020110221,32,108.6,"Mixed-care",NA,NA,FALSE,FALSE
"22",926,"F","Bachelors Degree","Full-time","Full-time",40,40,"Full-time","Full-time",40,124999,124999,4,0,3,75,303,FALSE,45,6,4,4.33073334028633,5.71702770140622,3.8286413964891,1.94591014905531,1.6094379124341,35,111.6,"Care-only",FALSE,FALSE,FALSE,FALSE
"23",944,"M","Masters Degree","Full-time","Full-time",40,40,"Full-time","Home",0,99999,125000,5,0,3,NA,NA,TRUE,NA,0,0,NA,NA,NA,0,0,38,126.5,"Care-only",NA,NA,FALSE,FALSE
"24",515,"F","Masters Degree","Full-time","Full-time",40,40,"Home","Home",0,54999,54999,5,1,4,32,296,FALSE,19,3,2,3.49650756146648,5.6937321388027,2.99573227355399,1.38629436111989,1.09861228866811,35,121.4,"Care-only",FALSE,FALSE,FALSE,FALSE
"25",375,"F","Masters Degree","Full-time","Full-time",40,40,"Full-time","Full-time",40,125000,125000,5,2,5,15,287,FALSE,8,0,0,2.77258872223978,5.66296048013595,2.19722457733622,0,0,32,121.4,"Care-only",FALSE,FALSE,FALSE,FALSE
"26",575,"M","Assoc Degree","Full-time","Full-time",40,40,"Full-time","Full-time",40,54999,54999,3,0,3,2,24,FALSE,2,0,0,1.09861228866811,3.2188758248682,1.09861228866811,0,0,33,107.3,"Care-only",FALSE,TRUE,FALSE,FALSE
"27",168,"F","Masters Degree","Part-time","Full-time",6,40,"Full-time","Full-time",50,125000,125000,5,3,6,1,105,FALSE,1,8,2,0.693147180559945,4.66343909411207,0.693147180559945,2.19722457733622,1.09861228866811,37,122.7,"Mixed-care",FALSE,FALSE,FALSE,FALSE
"28",518,"F","Doctorate","Full-time","Full-time",40,40,"Full-time","Full-time",40,125000,125000,6,1,4,52,311,FALSE,24,18,7,3.97029191355212,5.74300318780948,3.2188758248682,2.94443897916644,2.07944154167984,35,109.9,"Care-only",FALSE,FALSE,FALSE,FALSE
"29",220,"M","Bachelors Degree","Home","Part-time",0,16,"Home","Home",NA,22999,22999,4,0,3,17,55,FALSE,9,78,7,2.89037175789616,4.02535169073515,2.30258509299405,4.36944785246702,2.07944154167984,31,118.1,"Mixed-care",FALSE,FALSE,FALSE,FALSE
